image_id,lesion_type,image_size,dice,iou,precision,recall,specificity,image_level_tp,image_level_fp,image_level_fn,expert_pixels,detector_pixels
007-2200-100,EX,2960x2935,0,0,0,0,1,0,0,1,1732,0
007-2210-100,EX,2960x2935,NaN,0,0,0,1,0,0,0,0,0
007-2214-100,EX,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-2218-100,EX,2960x2935,NaN,0,0,0,1,0,0,0,0,0
007-2228-100,EX,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-2232-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2234-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2243-100,EX,2736x1824,0,0,0,0,0.999649130822304,0,1,0,0,1751
007-2245-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2252-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2272-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2278-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2279-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2280-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2287-100,EX,2736x1824,0,0,0,0,1,0,0,1,136,0
007-2288-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2295-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2297-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2300-100,EX,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2326-100,EX,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-2330-100,EX,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-2335-100,EX,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-2339-100,EX,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-2343-100,EX,4496x3000,NaN,0,0,0,1,0,0,0,0,0
007-2345-100,EX,4496x3000,NaN,0,0,0,1,0,0,0,0,0
007-2365-100,EX,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-2366-100,EX,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-2369-100,EX,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-2371-100,EX,2592x1728,NaN,0,0,0,1,0,0,0,0,0
