lesion_type,n_images,n_has_lesion,n_detected,image_detection_rate,mean_dice,median_dice,std_dice,mean_iou,mean_precision,mean_recall,mean_specificity
MA,54,54,0,0,0,0,0,0,0,0,1
HE,53,53,43,0.811320754716981,0.0330179295188267,0,0.0562072534001582,0.0176520948508123,0.213891572797517,0.0195233027074235,0.999214696640221
EX,54,54,8,0.148148148148148,0.0105504504817268,0,0.0295769647210394,0.00553170500293928,0.14368849198488,0.00554579920583781,0.999999262416763
